TAG,FILENAME,DOCUMENTATION,PREREQUISITE,ENVIRONMENT SPECIFIC DATA,REUSABLE DATA,DYNAMIC DATA,TEST CASE NAME
CoreHRTestCase, "td_HR_86_Quick_Actions_Promote_An_Employee", Quick Actions - Promote an employee (Current Date), HR-81, HR Login; Employee Number, Group; Promotion Start Date; Way to Promote; Reason for Promotion; Position; Percentage, Not Applicable, HR_86_Quick_Actions_Promote_An_Employee.robot
CoreHRTestCase, "td_HR_901_Payroll_Section_in_Change_Assignment_Flow", Payroll Section in Change Assignment Flow, Not Applicable, HR Login; Person Number, Person Number, Not Applicable, HR_901_Payroll_Section_in_Change_Assignment_Flow.robot
CoreHRTestCase, "td_HR_902_Employee_Checks_Journeys_ESS", Employee Checks Journeys, Not Applicable, Employee Login, Journey Name, Not Applicable, HR_902_Employee_Checks_Journeys_ESS.robot
CoreHRTestCase, "td_HR_903_Manager_Checks_My_Teams_Journeys", Manager Checks My Teams Journeys, Manager with a direct report with open journey, Manager Login, Journeys option, Not Applicable, HR_903_Manager_Checks_My_Teams_Journeys.robot
CoreHRTestCase, "td_HR_904_Manager_creates_Requisition", Manager creates Requisition, HR02 - Create a position, Manager Login; Position Code, Use; Business Unit; Business Justification; Recruiting Type; Organization; Primary Location, Not applicable, HR_904_Manager_creates_Requisition.robot
CoreHRTestCase, "td_HR_905_Quick_Actions_Manual_Hire_Contract", Create a manual hire(contract) through quick actions, Create a new position using HR-78, HR Login, Address line 1; City; Postal Code; Phone Type; Phone Number; First Name; Last Name; Date of Birth; Gender, Social Insurance Number(Has to be unique for every run; test team used to generate SIN from Google), HR_905_Quick_Actions_Manual_Hire_Contract.robot
CoreHRTestCase, "td_HR_906_Quick_Actions_Manual_Hire_Union", Create a manual hire for union through quick actions, Create a new position using HR-78, HR Login; Position Name, Address Type; Address line 1; City; Postal Code; Date of Birth; Gender; First Name; Last Name, Not Applicable, HR_906_Quick_Actions_Manual_Hire_Union.robot
CoreHRTestCase, "td_HR_907_MX_Complement_and_Vacancy_Report", MX_Complement and Vacancy Report, HR-78 - Create a position, HR Login, Report Name; Downloaded Report Name; Ref Column Name; Validation Column Name; Validation Value, Ref Value(It is getting auto read Position Code from common json file), HR_907_MX_Complement_and_Vacancy_Report.robot
CoreHRTestCase, "td_HR_908_Cultural_Census_2_reports_Detailed_and_Summary", Cultural Census (2 reports - Detailed and Summary), SME Intervention Needed to provide document type, HR Login, Folder Name; Report Name1; Report Name2; Job Name1; Job Name2, Not Applicable, HR_908_Cultural_Census_2_reports_Detailed_and_Summary.robot
CoreHRTestCase, "td_HR_909_Mandatory_Vaccination_Reports_Admin_and_MSS", Mandatory Vaccination Reports (Admin and MSS), Data setup test cases DC08, HR Login; Manager Login, Folder Name; Report Name1; Report Name2, Not Applicable, HR_909_Mandatory_Vaccination_Reports_Admin_and_MSS.robot
CoreHRTestCase, "td_HR_90_Quick_Actions_Reverse_termination", Quick Actions - Reverse termination, DC09_Terminating_An_Employee_Using_Quick_Actions, HR Login; Person Number; Person Name, Action; Parent Action; Child Action, Terminated Person Number; Person Name, HR_90_Quick_Actions_Reverse_termination.robot
CoreHRTestCase, "td_HR_910_Departure", Download Departure Report, Data Creation DC09, HR Login, Report Name, Terminated Employee Number, HR_910_Departure.robot
CoreHRTestCase, "td_HR_911_Sick_Absence_Report", Sick Absence Report, ABS_TC005, HR Login, Folder Name; Report Name, Not Applicable, HR_911_Sick_Absence_Report.robot
CoreHRTestCase, "td_HR_912_Vacation_Leave_Balance", Vacation Leave Balance, No data Dependency, HR Login, Folder Name; Report Name, Not Applicable, HR_912_Vacation_Leave_Balance.robot
CoreHRTestCase, "td_HR_913_Staff_List_BI", Download Staff List BI Report, HR81 - Create an employee record, HR Login, Report Name, Employee Number, HR_913_Staff_List_BI.robot
CoreHRTestCase, "Core_HR_common_test_data", HR - Employee checks Internal Career Site - ESS, Not Applicable, Employee Login, Not Applicable, Not Applicable, HR_914_HR_Employee_Checks_Internal_Career_Site_ESS.robot
CoreHRTestCase, "td_HR_91_Quick_Actions_Edit_Seniority_Dates", Quick Actions - Edit Seniority Dates, HR-84 or Rehire Person Name from ORC, HR Login; Employee Name, Not Applicable, Not Applicable, HR_91_Quick_Actions_Edit_Seniority_Dates.robot
CoreHRTestCase, "td_HR_93_Quick_Actions_Assignment_Change", Assignment Change - Quick Actions, Person number from ORC as a Converted Employee, HR Login; Person Name, Probation Period Value; Probation Period Unit, Assignment Number, HR_93_Quick_Actions_Assignment_Change.robot
CoreHRTestCase, "td_HR_94_Quick_Actions_Record_Correction", Quick Actions - Record Correction, Not Applicable, HR Login; Person Name, Hourly Paid or Salaried, Not Applicable, HR_94_Quick_Actions_Record_Correction.robot
CoreHRTestCase, "td_HR_95_Quick_Actions_Update_Employee_Person_Information", Quick Actions - Update Employee Person Information, Employee details should get from ORC, HR Login; Employee Login Name, Group; Country of Birth; Region of Birth; Town of Birth; Blood Type, Not Applicable, HR_95_Quick_Actions_Update_Employee_Person_Information.robot
CoreHRTestCase, "td_HR_96_Quick_Actions_Delete_Record", Quick Actions - Delete Record, Employee details should get from ORC, HR Login; Employee Login Name, Group, Not Applicable, HR_96_Quick_Actions_Delete_Record.robot
CoreHRTestCase, "td_HR_Filter_Managers_Using_Parent_Position_Hierarchy_in_Responsive_Employment_Pages", Filter Managers Using Parent Position Hierarchy in Responsive Employment Pages, Not Applicable, HR Login, Employee Person Number; Position Code(Which has Parent position with more incumbents), Not Applicable, HR_Filter_Managers_Using_Parent_Position_Hierarchy_in_Responsive_Employment_Pages.robot
CoreHRTestCase, "Core_HR_common_test_data", Time Displayed for Document Records Attachments, Not Applicable, HR Login, Employee Person Number, Not Applicable, HR_Time_Displayed_For_Document_Records_Attachments.robot
CoreHRTestCase, "td_HR_Transaction_Design_Studio_For_HCM_Experience_Design_Studio_Enhancements", Transaction Design Studio For HCM Experience Design Studio Enhancements, Not Applicable, HR Login, Hire an Employee Option1; Hire an Employee Option2, Not Applicable, HR_Transaction_Design_Studio_For_HCM_Experience_Design_Studio_Enhancements.robot
TaleoLearnMXUTestCase12, "td_MXU_TC002_Test_the_user_integration_process", Test the user integration process., Not Applicable, Login User, Report Name, Not Applicable, MXU_TC002_Test_the_user_integration_process.robot
TaleoLearnMXUTestCase, "td_MXU_TC003_Test_the_training_completion_integration_from_MXU_HCM", Test the training completion integration from MXU > HCM., Not Applicable, Login User, Report Name, Not Applicable, MXU_TC003_Test_the_training_completion_integration_from_MXU_HCM.robot
PayrollAbsenceTestCase, "td_PAY_TC001_Get_Accural_Balances_for_Current_Pay_Period_Before_Roll_Back", Run 'Get Accrual balnces' before payroll rollback for upgrade testing, No data dependancy, Login User, Plan Type;Business Unit;Time Range;Execution Time(min);Refresh Cycle(sec), Not Applicable, PAY_TC001_Get_Accural_Balances_for_Current_Pay_Period_Before_Roll_Back.robot
PayrollTestCase, "td_PAY_TC002_Run_Payroll_Activity_Report_For_Current_Pay_Period", Run Payroll Activity Report for Current Pay Period, Not Applicable, , Not Applicable, System Environment Variable, PAY_TC002_Run_Payroll_Activity_Report_For_Current_Pay_Period.robot
PayrollTestCase, "td_PAY_TC003_Roll_Back_Current_Pay_Period_Pay_Slips", Roll back Current Pay Period pay slips, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as Generate Payslip, Payslip Name for the previous pay period(Should be set to the previous month during upgrade testing), PAY_TC003_Roll_Back_Current_Pay_Period_Pay_Slips.robot
PayrollTestCase, "td_PAY_TC004_Roll_Back_Current_Pay_Period_Cheques", Roll back Current pay period cheques, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as Generate Cheque Payments, Cheque Name for the previous pay period(Should be set to the previous month during upgrade testing), PAY_TC004_Roll_Back_Current_Pay_Period_Cheques.robot
PayrollTestCase, "td_PAY_TC005_Roll_back_Current_Pay_Period_Direct_Deposit", Roll back process - Pay period direct deposit, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as MX Generate Direct Deposit Payments, Direct Deposit Name for the previous pay period(Should be set to the previous month during upgrade testing), PAY_TC005_Roll_back_Current_Pay_Period_Direct_Deposit.robot
PayrollTestCase, "td_PAY_TC006_Roll_Back_Current_Pay_Period_Archive", Roll back Process of 'Archive Periodic Payroll Results' for current pay period, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as Archive Periodic Payroll Results, Archive Name for the previous pay period(Should be set to the previous month during upgrade testing), PAY_TC006_Roll_Back_Current_Pay_Period_Archive.robot
PayrollTestCase, "td_PAY_TC007_Roll_Back_Current_Pay_Period_Prepayment", Roll back Process of Current Pay Period prepayment, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as Calculate Prepayments, Prepayment Name for the previous pay period(Should be set to the previous month during upgrade testing), PAY_TC007_Roll_Back_Current_Pay_Period_Prepayment.robot
PayrollTestCase, "td_PAY_TC008_Roll_Back_Current_Pay_Period_Calculate_Payroll", Submit a 'Roll back Process' for current pay period, Not applicable, Login User, Legislative Data Group is defined as CA Legislative Data Group; Flow Pattern is defined as Roll Back Process, Payroll Flow; Payroll Process(Current pay period information needs to be provided) eg.; '012022_Payroll | Calculate Payroll | 2022-01-04 | Biweekly | Complete, PAY_TC008_Roll_Back_Current_Pay_Period_Calculate_Payroll.robot
PayrollTestCase, "td_PAY_TC012_Re_Run_Current_Pay_Period_calculate_payroll", Re-run 'Calculate Payroll' by running process - after rollback, Not Applicable, , Not Applicable, System Environment Variable, PAY_TC012_Re_Run_Current_Pay_Period_calculate_payroll.robot
PayrollTestCase, "td_PAY_TC013_Re_Run_Current_Pay_Period_prepayment", Re-run 'Calculate prepayments' after rollback, Not Applicable, , Not Applicable, System Environment Variable, PAY_TC013_Re_Run_Current_Pay_Period_prepayment.robot
PayrollTestCase, "td_PAY_TC014_Re_Run_Current_Pay_Period_archive", Re-run 'Archive Periodic Payroll results' by submitting a flow, Not applicable, Login User, Flow Pattern; Start Date; End Date; Payroll; Log Name, Payroll Flow should be unique and should not be used in past for each run, PAY_TC014_Re_Run_Current_Pay_Period_archive.robot
PayrollTestCase, "td_PAY_TC015_Re_Run_Current_Pay_Period_direct_deposit", Re-Run process of Direect Deposit for current pay period, Not applicable, Login User, Flow Pattern; Start Date; End Date; Payroll; Log Name; Organization Payment Method; Consolidation Group; Task Name, Payroll Flow should be unique and should not be used in past for each run, PAY_TC015_Re_Run_Current_Pay_Period_direct_deposit.robot
PayrollTestCase678, "td_PAY_TC016_Re_Run_Current_Pay_Period_cheques", Re-run process for Generate chequw payments, Not applicable, Login User, Flow Pattern; Start Date; End Date; Payroll; Log Name; Organization Payment Method; Consolidation Group; Task Name; Start Number;End Number, Payroll Flow should be unique and should not be used in past for each run, PAY_TC016_Re_Run_Current_Pay_Period_cheques.robot
PayrollTestCase1, "td_PAY_TC017_Re_Run_Current_Pay_Period_payslips", Re-run process 'Generate Payslips' after roll back, SME Intervention Needed (Frucntional job - to provide the current pay period details for process submission in test data dynamic input sheet), Login User, Flow Pattern; Payroll; Log Name, Start Date; End Date; Payroll Flow should be unique and should not be used in past for each run, PAY_TC017_Re_Run_Current_Pay_Period_payslips.robot
PayrollTestCase, "td_PAY_TC019_Run_new_Payroll_Activity_Report_and_verify_it_is_same_as_PAY_TC002_or_differences_can_be_explained", Run new Payroll Activity Report and verify it is same as PAY_TC002 or differences can be explained, Not Applicable, , Not Applicable, System Environment Variable, PAY_TC019_Run_new_Payroll_Activity_Report_and_verify_it_is_same_as_PAY_TC002_or_differences_can_be_explained.robot
PayrollTestCase, "td_PAY_TC025_Run_Accrual_Banks_Validation_for_BEE_Timecards_Report_PAY_REP_017", Run Accrual Banks Validation for BEE Timecards Report (PAY-REP-017), PAY-REP-17, Login User, Not applicable, Not applicable, PAY_TC025_Run_Accrual_Banks_Validation_for_BEE_Timecards_Report_PAY_REP_017.robot
PayrollTestCase, "td_PAY_TC029_Run_MX_Delta_Absence_Report_ABS_REP_125", Manager adds a Participant feedback for an Employee, TABS-REP-125, Login User, Not Applicable, Not Applicable, PAY_TC029_Run_MX_Delta_Absence_Report_ABS_REP_125.robot
PayrollTestCase, "td_PAY_TC037_Run_Retro_Notification_report", Run Retro Notification report, Not Applicable, , Not Applicable, System Environment Variable, PAY_TC037_Run_Retro_Notification_report.robot
PayrollTestCase, "td_PAY_TC038_Calculate_Retro", Calculate Retro, Not applicable, Login User, Flow Pattern; Start Date; End Date; Payroll; Log Name, Payroll Flow should be unique and should not be used in past for each run, PAY_TC038_Calculate_Retro.robot
PayrollTestCase, "td_PAY_TC039_Run_Payroll_Retro_Generated_Entries_Report_PAY_REP_024", Run Payroll report for reto genration entried PAY-REP-024, Not applicable, Login User, Report Name, Not Applicable, PAY_TC039_Run_Payroll_Retro_Generated_Entries_Report_PAY_REP_024.robot
PayrollTestCase, "td_PAY_TC040_Run_Retro_Element_Entry_Listing_Net_By_Flow_report_and_review_PAY_REP_49", Run Payroll report for 'Run Retro Element Entry Listing Net By Flow', Not applicable, Login User, Report Name; Retro Flow Name, Not Applicable, PAY_TC040_Run_Retro_Element_Entry_Listing_Net_By_Flow_report_and_review_PAY_REP_49.robot
PayrollTestCase, "td_PAY_TC041_Calculate_Payroll", Calculate Payroll, Not applicable, Login User, Flow Pattern; Payroll; Payroll Period; Run Type; Log Name, Payroll Flow should be unique and should not be used in past for each run, PAY_TC041_Calculate_Payroll.robot
, "td_PAY_TC041_Calculate_Payroll", , , , , , PAY_TC041_Calculate_Payroll_Negative.robot
PayrollTestCase, "td_PAY_TC048_Calculate_Accruals_Seeded_Absence_Process", Calculate Payroll, Not applicable, Login User, Flow Pattern; Todays Date; Payroll; Log Name, Payroll Flow should be unique and should not be used in past for each run, PAY_TC048_Calculate_Accruals_Seeded_Absence_Process.robot
NegativeTestCase, "td_PAY_TC048_Calculate_Accruals_Seeded_Absence_Process", , , , , , PAY_TC048_Calculate_Accruals_Seeded_Absence_Process_Negative.robot
PayrollAbsenceTestCase, "td_PAY_TC070_Verify_Absence_Employee_with_position_change", Verify Absence - Employee with position change, SME intervention needed to change position for an emp, Login User; Person Name; Person Number, Parent Action; Child Action; Accurals; Date; Status, Latest Assignment Name, PAY_TC070_Verify_Absence_Employee_with_position_change.robot
PayrollAbsenceTestCase, "td_PAY_TC072_Verify_Absence_Employee_With_Vacation_Elector", Verify Absence - Employee with Vacation Elector, Not Applicable, Login User, Report Name, Not Applicable, PAY_TC072_Verify_Absence_Employee_With_Vacation_Elector.robot
PayrollTestCase, "td_PAY_TC074_Manage_Calculation_Card_Garnishment_And_Family_Support", Manage Calculation Card - Garnishment and Family Support, Existing employee number, Login User, Person Number, Calculation Card Name; Calculation Component Name 1;Reference Code 1; Calculation Component Name 2; Reference Code 2; Display Name on Value 1; Amount; Display Name on Value 2, Not applicable, PAY_TC074_Manage_Calculation_Card_Garnishment_And_Family_Support.robot
PayrollTestCase, "td_PAY_TC077_Run_QuickPay", Run QuickPay, SME intervention need to provide person number -Can take any exisiting employee number, Login User;Person Number, Not applicable, Not applicable, PAY_TC077_Run_QuickPay.robot
PayrollTestCase, "td_PAY_TC078_Verify_Assignment", Verify Assignment, Need Existing Employee details, Login User; Person Number, Assignment Status, Not applicable, PAY_TC078_Verify_Assignment.robot
PayrollTestCase, "td_PAY_TC079_Verify_Salary", Verify Salary, Need Existing Employee details, Login User; Person Name; Person Number, Parent Action; Child Action, Not applicable, PAY_TC079_Verify_Salary.robot
PayrollTestCase, "td_PAY_TC080_Verify_Calculation_Card", Verify Calculation Cards, Need Existing Employee details, Login User; Person Name; Person Number, Parent Action; Child Action, Not applicable, PAY_TC080_Verify_Calculation_Card.robot
PayrollTestCase, "td_PAY_TC081_Verify_Payment_Method", Verify Payemnt method of an employee, ESSPAY_TC001, Login User; Person Number, Actions; Child Action, Not Applicable, PAY_TC081_Verify_Payment_Method.robot
PayrollTestCase, "td_PAY_TC082_Verify_Person", Verify Person, Need Existing Employee details, Login User; Person Name; Person Number, Parent Action; Child Action, Not applicable, PAY_TC082_Verify_Person.robot
PayrollTestCase, "td_PAY_TC083_Verify_Absence", Verify Absence, Need Existing Employee details, Login User; Person Name, Not Applicable, Not Applicable, PAY_TC083_Verify_Absence.robot
PayrollTestCase, "td_PAY_TC084_Verify_Payroll_Relationship", Verify Payroll Relationship, Need Existing Employee details, Login User; Person Name; Person Number, Parent Action; Child Action; Payroll Status, Not applicable, PAY_TC084_Verify_Payroll_Relationship.robot
PayrollTestCase56897, "td_PAY_TC085_Verify_Element_Entry", Verify Element Entry, Existing employee number, Login User; Person Number, Parent Action; Child Action, Not Applicable, PAY_TC085_Verify_Element_Entry.robot
PayrollTestCase567, "td_PAY_TC086_Verify_Benefit_Plans_Can_Be_Viewed", Verify Benefit Plans Can Be Viewed, SME intervention need, , Not Applicable, Not Applicable, PAY_TC086_Verify_Benefit_Plans_Can_Be_Viewed.robot
PayrollTestCase5678, "td_PAY_TC087_Verify_TRU_Change", Verify TRU Change, SME intervention need, , Parent Action;Child Action, TRU, PAY_TC087_Verify_TRU_Change.robot
PayrollTestCase, "td_PAY_TC088_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC010", Verify Quick Pay for Tax Card (ESSPAY_TC010), ESSPAY_TC010, Login User; Person Number, Not applicable, Not applicable, PAY_TC090_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC010.robot
PayrollTestCase, "td_PAY_TC089_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC009", Verify Quick Pay for Tax Card (ESSPAY_TC008), ESSPAY_TC008, Login User; Person Number, Not applicable, Not applicable, PAY_TC089_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC009.robot
PayrollTestCase, "td_PAY_TC090_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC008", Verify Quick Pay for Tax Card (ESSPAY_TC008), ESSPAY_TC008, Login User; Person Number, Not applicable, Not applicable, PAY_TC088_Verify_Quick_Pay_for_Tax_Card_ESSPAY_TC008.robot
PayrollTestCase, "td_PAY_TC091_Verify_New_Hire_With_Quick_Pay", Verify New Hire with Quick Pay, HR-81 (Need New hire Employee details), Login User; Person Number, Not applicable, Not applicable, PAY_TC091_Verify_New_Hire_With_Quick_Pay.robot
PayrollTestCase, "td_PAY_TC092_Verify_Rehire_With_Quick_Pay", Verify Re-hire with Quick Pay, HR-84 (Need Re-hire Employee details), Login User; Person Number, Not applicable, Not applicable, PAY_TC092_Verify_Rehire_With_Quick_Pay.robot
PayrollTestCase, "td_PAY_TC093_Verify_Termination_With_Quick_Pay", Verify Termination with Quick Pay, Need Fresh Terminated Employee details, Login User; Person Number, Not applicable, Not applicable, PAY_TC093_Verify_Termination_With_Quick_Pay.robot
PayrollTestCase, "td_PAY_TC094_Verify_Benefit_Changes_With_Quick_Pay", Verify Benefit changes with Quick Pay, TC014, Login User; Person Number, Not applicable, Not applicable, PAY_TC094_Verify_Benefit_Changes_With_Quick_Pay.robot
PayrollTestCase, "td_PAY_TC095_Verify_New_Temp_Assignment_With_Quick_Pay", Verify new Temp Assignment with Quick Pay, HR-82, Login User; Person Number, Not applicable, Not applicable, PAY_TC095_Verify_New_Temp_Assignment_With_Quick_Pay.robot
PayrollTestCase, "td_PAY_TC096_Balance_Adjustment", Balance Adjustment, SME intervention need to provide person number -Can take any exisiting employee number, Login User; Person Number, Not applicable, Element Name;Assignment Name;Calculation Component;Rate, PAY_TC096_Balance_Adjustment.robot
SecurityRoleTestCase, "td_SEC_TC001_MX_General_Human_Resources_Inquiry", MX General Human Resources Inquiry, HR-81 and Require an user with MX General Human Resources Inquiry Role, Login User; Person Number, Person Name;Homepage Option1;Homepage Option2;Homepage Option3;Client group Apps1;Client group Apps2;Client group quick option1;Client group quick option2;Parent Action;Child Action, Not Applicable, SEC_TC001_MX_General_Human_Resources_Inquiry.robot
SecurityRoleTestCase, "td_SEC_TC002_MX_Total_Rewards_Representative", Security Testing - MX Total Rewards Representative, Person Number can be created from HR 81, Login User, Person Number, Not applicable, SEC_TC002_MX_Total_Rewards_Representative.robot
SecurityRoleTestCase, "td_SEC_TC003_MX_HRBP_Representative", Security Testing - MX HRBP Representative, Person Number can be created from HR 81, Login User, Person Number, Not applicable, SEC_TC003_MX_HRBP_Representative.robot
SecurityRoleTestCase, "td_SEC_TC004_MX_Health_and_Wellness_Representative", role to test on MX Health and Wellness Representative, Not Applicable, Login User;Person Name;Person Number, Action Menu1;Action Menu2;Personal and Employment Select Sub Menu, Not Applicable, SEC_TC004_MX_Health_and_Wellness_Representative.robot
SecurityRoleTestCase, "td_SEC_TC005_MX_Organizational_Development_Representative", Security Testing - MX Organizational Development Representative, Person Number can be created from HR 81, Login User, Person Number, Not applicable, SEC_TC005_MX_Organizational_Development_Representative.robot
SecurityRoleTestCase, "td_SEC_TC006_MX_Learning_Administrator", MX Learning Administrator, HR-81 and Require an user with MX Learning Administrator Role, Login User; Person Number, Person Name;Homepage Option1;Homepage Option2;Homepage Option3;Client group Apps1;Client group Apps2;Client group quick option1;Client group quick option2;Parent Action;Child Action, Not Applicable, SEC_TC006_MX_Learning_Administrator.robot
SecurityTestCase, "td_SEC_TC007_MX_Employee_Relations_Representative", Security Testing - MX Employee Relations Representative, Require an user with MX Employee Relations Representative Role, Login User meeting the prerequisite; Person number, Person Number, Not applicable, SEC_TC007_MX_Employee_Relations_Representative.robot
SecurityRoleTestCase, "td_SEC_TC008_MX_HR_Reporting_And_Analytics_Specialist", MX HR Reporting and  Analytics Specialist, HR-81 and Require an user with MX HR Reporting and  Analytics Specialist Role, Login User; Person Number, Person Name;Homepage Option1;Homepage Option2;Homepage Option3;My Client Apps;Action Menu1;Parent Action;Child Action, Not Applicable, SEC_TC008_MX_HR_Reporting_And_Analytics_Specialist.robot
SecurityRoleTestCase, "td_SEC_TC009_MX_HR_Systems_Administrator", MX HR Systems Administrator, Not Applicable, Login User; Person Number, Person Name;Action Menu1;Action Menu2;Action Menu3;Action Menu4;Personal and Employment Select Sub Menu;Edit Menu1;Edit Menu2;Edit Menu3, Not Applicable, SEC_TC009_MX_HR_Systems_Administrator.robot
SecurityRoleTestCase, "td_SEC_TC010_MX_HR_Leader", MX HR Leader, HR-81 and Require an user with MX HR Leader Role, Login User; Person Number, Person Name;Homepage Option1;Homepage Option2;Homepage Option3;Client group Apps1;Client group Apps2;Client group quick option1;Client group quick option2;Action Menu1;Parent Action;Child Action;Benefits Apps;Tools Apps, Not Applicable, SEC_TC010_MX_HR_Leader.robot
SecurityRoleTestCase, "td_SEC_TC011_MX_Talent_Aquistion_Representative", MX Talent Acquisition Representative, Not Applicable, Login User; Person Number, Person Name;Action Menu1;Action Menu2;Action Sub Menu;Edit Menu1;Edit Menu2;Edit Menu3, Not Applicable, SEC_TC011_MX_Talent_Aquistion_Representative.robot
SecurityRoleTestCase, "td_SEC_TC012_MX_MX_HR_Services", Security Testing - MX HR Services, Person Number can be created from HR 81, Login User, Person Number, Not applicable, SEC_TC012_MX_HR_Services.robot
SecurityRoleTestCase, "td_SEC_TC022_MX_Employee_Self_Service", Security Testing - MX Employee Self Service, ...            Environment Specific Data:  Login User with MX Employee Self Service Role, Login User with MX Employee Self Service Role, Not applicable, Not applicable, SEC_TC022_MX_Employee_Self_Service.robot
SecurityRoleTestCase, "td_SEC_TC023_MX_Manager_Self_Service", Security Testing - MX Manager Self Service, An Employee should be a reportee to the Manager, Login User with MX Manager Self Service Role, Not applicable, Not applicable, SEC_TC023_MX_Manager_Self_Service.robot
BenefitsTestCase, "td_TC001_Life_Event_New_Hire", New Hire Life event creation in Benefits Enrollment, HR-81; Newly Hired Person details should be present in environment, , Not Applicable, Not Applicable, TC001_Life_Event_New_Hire.robot
BenefitsTestCase, "td_TC002_Life_Event_Transfer", Transfer Event created in Benefits Enrollment, HR-17; Newly Transferred Person details should be present in environment, Login User(Benefits_common_test_data.csv); Person Number of respective newly transferred employee(Benefits_common_test_data.csv); Transfer Date to verify, , Not Applicable, TC002_Life_Event_Transfer.robot
BenefitsTestCase, "td_TC003_Life_Event_Salary_Change", Salary change Life Event creation in Benefits Enrollment, HR-81; Newly Hired Person details should be present in environment, , Not Applicable, Not Applicable, TC003_Life_Event_Salary_Change.robot
Benefits123, "td_TC004_Life_Event_Termination", Life Event - Termination., Person number generated by creating a Manual hire through HR-81, Login User(Benefits_common_test_data.csv); Person Number(Benefits_common_test_data.csv), Life Event; Action Value, Occurred Date must be in future, TC004_Life_Event_Termination.robot
BenefitsTestCase, "td_TC005_Terminate_Employees_Benefits", Terminate Employees Benefits in benefits Enrollment, DC09, , Not Applicable, Employee person number whose tenure is more than 30 days(Benefits_common_test_data.csv); terminated and life event is in detected state, TC005_Terminate_Employees_Benefits.robot
BenefitsTestCase, "td_TC006_Add_Benefit_Plans", Add Benefits Plans in benefits Enrollment, HR-81; Newly Hired Person details should be present in environment; DC-13 Add Payroll Frequency, , Not Applicable, Not Applicable, TC006_Add_Benefit_Plans.robot
BenefitsTestCase, "td_TC007_Override_Benefit_Plans", Override Benefit Plans in Benefits Enrollment, TC006, , Start Date, Not Applicable, TC007_Override_Benefit_Plans.robot
Benefits, "td_TC008_Add_dependent_s_to_an_employees_benefit_plans", Add dependent(s) to an employees benefit plans., Not Applicable, Login User(Benefits_common_test_data.csv); Person Number(Benefits_common_test_data.csv), Relationship, Last Name and use current date as Relationship Start Date, TC008_Add_dependent_s_to_an_employees_benefit_plans.robot
BenefitsTestCase, "td_TC009_Validate_The_Rates", Validate The Rates, Employee person number should be available in environment, , Not Applicable, Not Applicable, TC009_Validate_The_Rates.robot
BenefitsTestCase, "td_TC010_Temp_assignment", Events created in Benefits post Temp assignment creation, HR-09; Person details should be present in environment, LoginUser is environment specific(Benefits_common_test_data.csv); Person Number of respective employee(Benefits_common_test_data.csv), , Not Applicable, TC010_Temp_assignment.robot
BenefitsTestCase, "td_TC011_End_of_Temp_Assignement", End of Temporary Assignment, HR-83, , Not Applicable, Not Applicable, TC011_End_of_Temp_assignmement.robot
BenefitsTestCase, "td_TC014_Benefits_Retro_Change_For_Grade_Sync_Process", Benefits retro change for grade sync process, ...            Environment Data:  Login User is environment specific(Benefits_common_test_data.csv), , Person Number(Benefits_common_test_data.csv), Effective Date should be past date, Not Applicable, TC014_Benefits_Retro_Change_For_Grade_Sync_Process.robot
Benefits, "td_TC015_Validate_the_file_format", Validate the File Format, ...            Environment Specific Data:  Login User(Benefits_common_test_data.csv), Login User(Benefits_common_test_data.csv), Person Number(Benefits_common_test_data.csv), Report Name(Benefits_common_test_data.csv), Not applicable, TC015_Validate_the_file_format.robot
Benefits, "td_TC016_Validate_the_Flex_code_for_an_employee_with_Dependents", Validate the File Format, TC015, Login User(Benefits_common_test_data.csv), Person Number(Benefits_common_test_data.csv), Report Name(Benefits_common_test_data.csv), Not applicable, TC016_Validate_the_Flex_code_for_an_employee_with_Dependents.robot
Benefits, "td_TC017_Interface_Validate_the_location_and_class_code", Validate the File Format, TC015, Login User(Benefits_common_test_data.csv), Person Number(Benefits_common_test_data.csv),Report Name(Benefits_common_test_data.csv), On Data, Not applicable, TC017_Interface_Validate_the_location_and_class_code.robot
NegativeTestCase, "td_TC01_Negative_Completed_Performance_Document_Verification_For_Manager", Check Performance Document in Completed status, Annual Performance Document should be available, Manager Login(PMP_Talent_common_test_data.csv), Not Applicable, Review Period; Review Section; Manager Name, TC01_Completed_Performance_Document_Verification_For_Manager_Negative_Scenario.robot
